epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,5.86362,2.47532,3.44829,3.86607,0.22013,0.00907,0.8125,0.00917,0.00421,1.69278,4.10314,3.64942,0.02294,0,0,0
2,10.7731,2.29606,3.49187,3.53639,0.15,0.00899,0.8125,0.01124,0.00454,1.63575,4.07598,3.57517,0.021,1.934e-05,1.934e-05,1.934e-05
3,15.3525,2.31777,3.77521,3.85768,0.07996,0.00902,0.8125,0.01357,0.00474,1.58655,3.98013,3.47197,0.01991,3.736e-05,3.736e-05,3.736e-05
4,19.6066,2.14827,3.39256,3.68887,0.16224,0.0091,0.8125,0.01713,0.00626,1.54335,3.83794,3.41106,0.02031,5.406e-05,5.406e-05,5.406e-05
5,23.929,2.45658,3.3166,3.89911,0.13011,0.00958,0.875,0.02726,0.01108,1.46148,3.68165,3.2924,0.02525,6.944e-05,6.944e-05,6.944e-05
6,28.6639,2.35615,3.33295,3.91036,0.10238,0.01094,1,0.06044,0.02513,1.29198,3.53382,3.16535,0.01902,8.35e-05,8.35e-05,8.35e-05
7,33.7742,1.86119,3.19018,3.29226,0.11425,0.01137,1,0.16566,0.0823,1.21925,3.30536,3.09647,0.01829,9.624e-05,9.624e-05,9.624e-05
8,39.4491,1.74728,2.84773,3.20387,0.11241,0.01235,1,0.3377,0.17275,1.08289,3.05055,2.96936,0.01512,0.00010766,0.00010766,0.00010766
9,43.8968,1.49034,2.8324,2.99,0.05049,0.29612,0.81517,0.46323,0.21265,0.99293,2.85007,2.94577,0.0135,0.00011776,0.00011776,0.00011776
10,48.7909,1.64815,2.88035,3.10305,0.06908,0.48996,0.3612,0.50684,0.30296,0.89542,2.65449,2.95275,0.01096,0.00012654,0.00012654,0.00012654
11,53.2793,1.4153,2.44647,3.22292,0.05535,0.57154,0.50023,0.64505,0.42496,0.84787,2.39963,2.90091,0.00976,0.000134,0.000134,0.000134
12,57.812,1.35717,2.40102,3.0063,0.09206,0.58815,0.80365,0.74941,0.58788,0.8439,2.19574,2.81713,0.00951,0.00014014,0.00014014,0.00014014
13,62.2971,1.23202,1.99886,2.71807,0.04528,0.66279,0.86046,0.87113,0.67734,0.84889,1.99777,2.75674,0.00884,0.00014496,0.00014496,0.00014496
14,68.9382,1.20651,2.22071,2.95046,0.03077,0.78252,0.9375,0.93905,0.7267,0.83438,1.8291,2.69846,0.00748,0.00014846,0.00014846,0.00014846
15,75.3933,1.33778,1.8674,2.85788,0.0756,0.95485,0.75,0.95249,0.74315,0.82318,1.67179,2.62057,0.00711,0.00015064,0.00015064,0.00015064
16,82.5928,1.30878,1.99507,2.75291,0.02032,1,0.8638,0.96643,0.75588,0.79715,1.55422,2.52647,0.00684,0.0001515,0.0001515,0.0001515
17,88.1569,1.33495,1.91103,3.21782,0.0325,0.92481,0.875,0.969,0.74761,0.80564,1.48509,2.46602,0.00712,0.00015104,0.00015104,0.00015104
18,92.8551,1.20718,1.76205,2.46037,0.0219,0.92481,0.875,0.969,0.74761,0.80564,1.48509,2.46602,0.00712,0.00014926,0.00014926,0.00014926
19,97.1176,1.27663,1.69339,2.57466,0.05864,0.92823,0.875,0.97205,0.77237,0.78891,1.42576,2.39501,0.00789,0.00014616,0.00014616,0.00014616
20,101.526,1.25322,1.89884,2.53568,0.03465,0.92823,0.875,0.97205,0.77237,0.78891,1.42576,2.39501,0.00789,0.00014174,0.00014174,0.00014174
21,106.327,0.99193,1.79154,3.13607,0.00528,0.87836,1,0.973,0.76224,0.77388,1.40335,2.27218,0.01142,0.000136,0.000136,0.000136
22,110.63,0.93323,1.63288,2.79658,0.00926,0.87836,1,0.973,0.76224,0.77388,1.40335,2.27218,0.01142,0.00012894,0.00012894,0.00012894
23,115.093,0.94966,1.72397,2.98872,0.00737,0.91007,0.875,0.95361,0.80436,0.72563,1.368,2.18617,0.00832,0.00012056,0.00012056,0.00012056
24,119.292,0.88525,1.94016,2.70968,0.01196,0.91007,0.875,0.95361,0.80436,0.72563,1.368,2.18617,0.00832,0.00011086,0.00011086,0.00011086
25,123.386,1.06149,1.64542,2.98057,0.01213,0.98542,0.875,0.98167,0.83229,0.70351,1.30147,2.13118,0.00766,9.984e-05,9.984e-05,9.984e-05
26,127.527,0.88179,1.55991,3.11756,0.0104,0.98542,0.875,0.98167,0.83229,0.70351,1.30147,2.13118,0.00766,8.75e-05,8.75e-05,8.75e-05
27,131.63,0.89183,1.63085,2.73986,0.00763,0.93749,0.93741,0.98794,0.82592,0.70309,1.2991,2.08116,0.00667,7.384e-05,7.384e-05,7.384e-05
28,135.711,0.85713,1.59249,2.61455,0.00618,0.93749,0.93741,0.98794,0.82592,0.70309,1.2991,2.08116,0.00667,5.886e-05,5.886e-05,5.886e-05
29,139.996,0.87759,1.46078,2.73677,0.00646,0.97418,1,0.995,0.83423,0.69954,1.31231,2.04086,0.0067,4.256e-05,4.256e-05,4.256e-05
30,144.082,0.86886,1.57994,3.01578,0.00809,0.97418,1,0.995,0.83423,0.69954,1.31231,2.04086,0.0067,2.494e-05,2.494e-05,2.494e-05
